sentence;hierarchy;x_groups;y_groups
<x_nom> ruft <y_akk> an, weil <x_pron_nom> neue Investitionstipps hat.;x>y;[Banken-/Finanzdienste];[]
<x_nom> spricht mit <y_dat> und erfährt, dass <x_poss_m_nom> Vorschlag, einen neuen Flughafen zu bauen, auf heftigen Widerstand stößt.;none;[Bauwesen];[]?
<x_nom> ignoriert <y_akk> und befiehlt <y_pron_dat>, sich wieder an die Arbeit zu machen.;x>y;[Boss];[]
<x_nom> verspricht <y_dat> eine Gehaltserhöhung, weil <x_pron_nom> mit der Leistung zufrieden ist.;x>y;[Boss];[]
<x_nom> erzählt <y_dat>, dass <x_pron_nom> die Reparatur abgeschlossen hat.;none;[Dienstleisting];[]
<x_nom> bereitete eine Suppe für <y_akk> vor und wartete darauf, dass <y_pron_nom> zahlte.;none;[Dienstleistung(Koch)];[]
<x_nom> entschuldigt sich bei <y_dat>, weil <y_rel_nom> mit <x_poss_dat_m> Art zu kochen nicht zufrieden ist.;x<y;[Dienstleistung(Koch)];[]
<x_nom> ruft <y_akk> an, um <y_pron_dat> mitzuteilen, dass <y_poss_n_nom> Auto am Morgen fertig sein wird.;none;[Dienstleistung(Mechaniker)];[]
<x_nom> nimmt <y_dat> fest, obwohl <x_pron_nom> nicht im Dienst ist.;none;[Dienstleistung(Poizist)];[]
<x_nom> nimmt <y_akk> fest, obwohl <x_pron_nom> nicht gewalttätig ist.;none;[Dienstleistung(Polizist)];[]
<x_nom> putzt den Raum für <y_akk> und hofft, dass <y_pron_nom> Trinkgeld gibt.;x<y;[Dienstleistung];[]
<x_nom> ruft <y_akk> an um zu sagen, dass <x_pron_nom> die Reparatur abgeschlossen hat.;none;[Dienstleistung];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> den Bürgersteig so schnell wie möglich repariert.;none;[Dienstleistung];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> empfiehlt, die Pillen zur Mahlzeit einzunehmen.;none;[Ernährung,Medizin];[]
<x_nom> bewirbt sich, um mit <y_dat> zu arbeiten, weil <y_pron_nom> eine Laborhilfe braucht.;none;[Forschung/Chemie];[Forschung/Chemie]
<x_nom> erhält Gewebeproben <y_gen>, die <x_pron_nom> unter <x_poss_n_dat> Mikroskop betrachten kann.;none;[Forschung/Medizin];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> sich freuen würde, eine Führung durch das Labor zu geben.;none;[Forschung/Wissenschaft];[]
<x_nom> bewirbt sich, um mit <y_dat> zu arbeiten, da <x_pron_nom> mehr Erfahrung im Labor braucht.;none;[Forschung];[Forschung]
<x_nom> ermutigt <y_akk>, drei Mahlzeiten am Tag zu essen, weil das der Rat ist, den <x_pron_nom> allen gibt.;none;[Gesundheitswesen];[]
<x_nom> erklärt <y_dat>, dass das Reduzieren von Zucker ein wirksamer Weg zur Verbesserung <y_poss_f_gen> Ernährung ist.;none;[Gesundheitswesen];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> das Gemälde auf zehntausend Euro schätzt.;unklar;[Handel(Gutachter)];[]
<x_nom> sagt zu <y_nom>, dass <x_pron_nom> Kreditkarten für Einkäufe unter zehn Euro nicht akzeptiert.;none;[Handel];[]
<x_nom> mag <y_akk> und verkauft <y_pron_dat> Ware mit Rabatt.;none;[Handel];[]
<x_nom> berechnet <y_dat> mehr Geld, will <y_pron_dat> aber nicht mehr Ware geben.;none;[Handel];[]
<x_nom> sagt <y_dat>, dass <y_pron_nom> für das Gemälde zu viel bezahlt hat.;x>y;[Handel];[]
<x_nom> verkauft eine ganze Sammlung von Gemälden an <y_akk>, weil <x_pron_nom> die Galerie aufgeben muss.;none;[Handel];[]
<x_nom> gibt <y_dat> eine Laserschneidervorführung und sagt, dass nur <x_pron_nom> sie bedienen kann.;none;[Handwerk];[]
<x_nom> warnt <y_akk>, dass <x_pron_nom> vielleicht noch einen zusätzlichen Tag braucht, um das Haus fertig zu verkabeln.;none;[Maschinen/Anlagenbau];[]
<x_nom> inspiziert die Leiche <y_gen>, um die Todesursache festzustellen, kann das aber nicht, weil <x_pron_nom> zu inkompetent ist.;none;[Medizin/Forschung];[]
<x_nom> erhält Gewebeproben <y_gen>, um <y_poss_f_akk> Todesursache zu ermitteln.;none;[Medizin/Forschung];[]
<x_nom> spricht mit <y_dat> über einen Patienten, bei dem <x_pron_nom> eine Untersuchung machen muss.;none;[Medizin];[Medizin]
<x_nom> will <y_akk> treffen, weil <y_pron_nom> mehr Erfahrung mit medizinischen Notfällen hat.;none;[Medizin];[Medizin]
<x_nom> untersucht <y_akk>, weil <x_pron_nom> sich Sorgen macht.;none;[Medizin];[]
<x_nom> operiert <y_akk>, weil <y_poss_m_nom> Tumor im Laufe der Zeit gewachsen ist.;x>y;[Medizin];[]
<x_nom> erzählt <y_dat>, dass <x_pron_nom> eine Röntgenaufnahme machen muss.;none;[Medizin];[]
<x_nom> teilt <y_dat> mit, dass <y_poss_f_nom> Katze Diabetes entwickelt hat.;none;[Medizin];[]
<x_nom> führt eine Herz-Druck-Massage bei <y_dat> durch, obwohl <x_pron_nom> weiß, dass es zu spät ist.;none;[Medizin];[]
<x_nom> führt eine Herz-Druck-Massage bei <y_dat> durch, obwohl <y_pron_nom> schon tot ist.;none;[Medizin];[]
<x_nom> operiert <y_akk> besonders sorgfältig, weil <x_poss_f_nom> Zuneigung verspürt.;none;[Medizin];[]
<x_nom> teilt <y_dat> mit, dass <x_pron_nom> die Katze Luna für einen Notfalltermin eintragen kann.;none;[Medizin];[]
<x_nom> inspiziert die Leiche <y_gen>, um eine Todesursache zu klären, kann aber nicht, weil <y_poss_m_nom> Körper zu verstümmelt ist.;none;[Medizin];[]
<x_nom> fordert, dass <y_nom> die Farm verlässt, da <y_pron_nom> hier nicht erwünscht ist.;none/x>y;[Nahrungs-/Genussmittel];[]
<x_nom> liefert <y_dat> einen neuen Anzug und bittet <y_pron_akk>, ihn anzuziehen;none;[Textil/Bekleidung];[]
<x_nom> ist beliebt bei <y_dat>, weil <y_pron_nom> gute Klamotten mag.;none;[Textil];[]
<x_nom> meint, <y_nom> solle einen Fragebogen ausfüllen, damit <x_pron_nom> eine vorläufige Beurteilung vornehmen kann.;none;[Unternehmensberatung,Medzin];[]
<x_nom> trifft sich mit <y_dat>, weil <y_pron_nom> mehr über Bewerbungen wissen will.;x>y;[Unternehmensberatung];[]
<x_nom> ermutigt <y_akk>, an <x_poss_p_dat> Therapiesitzungen teilzunehmen.;x>y;[Unternehmensberatung];[]
<x_nom> will <y_akk> persönlich interviewen, kann aber keinen Kontakt zu <x_pron_dat> herstellen.;none;[Unternehmensberatung];[]
<x_nom> trifft sich mit <y_dat>, um <y_poss_p_akk> Stärken zu besprechen.;none;[Unternehmensberatung];[]
<x_nom> will <y_akk> persönlich interviewen, <x_pron_nom> ist aber nicht erreichbar.;none;[Unternehmensberatung];[]
<x_nom> bittet <y_akk>, Aufzeichnungen über <y_poss_p_akk> Finanzgeschäfte vorzulegen.;none/x>y;[WP/Steuerberatung];[Handel]
<x_nom> bittet um ein Gespräch mit <y_dat>, weil <x_pron_nom> den Abrechnungsfehler schnell beheben will.;x=y;[WP/Steuerberatung];[]
<x_nom> fragt <y_akk>, ob <y_pron_nom> irgendwelche Bauregelverstöße entdeckt hat.;none;[];[Bauwirtschaft]
<x_nom> geht zu <y_dat>, weil alle wissen, dass <y_pron_nom> die besten Klamotten macht.;none;[];[Bekleidung]
<x_nom> besucht <y_akk>, weil <y_pron_nom> einige Fehler gemacht hat.;none;[];[Dienstleistung(Autor)]
<x_nom> genießt es, von <y_dat> einen Haarschnitt zu bekommen, weil <y_pron_nom> gute Arbeit macht.;none;[];[Dienstleistung(Friseur)]
<x_nom> ruft <y_akk> an, um einen Kostenvoranschlag für <y_poss_p_akk> Dienste zu bekommen.;x<y;[];[Dienstleistung]
<x_nom> fragt <y_akk>, ob <y_pron_nom> die Preisgestaltung für jedes Produkt erklären kann.;none;[];[Handel]
<x_nom> braucht <y_akk> für die Erntetabelle und bittet <y_pron_akk> um Hilfe.;none;[];[Landwirtschaft]
<x_nom> dankt <y_dat>, weil <y_pron_nom> immer sehr nett zu Patienten ist.;none;[];[Medizin]
<x_nom> ruft <y_akk> an, weil <x_pron_nom> sich sehr krank fühlt.;none;[];[Medizin]
<x_nom> wird an <y_akk> verwiesen, weil <y_pron_nom> sich mit seltenen Krankheiten auskennt.;none;[];[Medizin]
<x_nom> lässt <y_dat> ein großes Trinkgeld da, weil <y_pron_nom> das Getränk richtig gut gemixt hat.;none;[];[Nahrungs-/Genussmittel]
<x_nom> ruft <y_akk> an und vereinbart einen Termin mit <y_pron_dat>.;none;[];[Sekretär]
<x_nom> ruft die 110 an, spricht mit <y_dat> und <x_pron_dat> wird gesagt, dass <x_pron_nom> an einem sicheren Ort auf Hilfe warten soll.;x<y;[];[Telekommunikation]
<x_nom> ruft die 110 an und spricht mit <y_dat>, <y_rel_nom> sagt, dass <y_pron_nom> Hilfe geschickt hat.;x<y;[];[Telekommunikation]
<x_nom> kontaktiert <y_akk>, weil <x_pron_nom> einen Anzug reparieren lassen will.;none;[];[Textil]
<x_nom> rief <y_dat> ein Taxi und erklärte <y_pron_dat>, wohin <y_pron_nom> gehen sollte.;none;[];[Transport]
<x_nom> trifft sich mit <y_dat>, weil <x_pron_nom> Ratschläge für Bewerbungen geben kann.;x>y;[];[Unternehmensberatung]
<x_nom> trifft sich mit <y_dat>, um <x_poss_f_akk> Bewertungsschema zu besprechen.;none;[];[Unternehmensberatung]
<x_nom> ruft <y_akk> an und bittet <y_pron_akk>, einen Artikel über das Unternehmen zu schreiben.;none;[];[Werbung]
<x_nom> rügt <y_akk>, weil <y_pron_nom> bei der Einreichung von Unterlagen einen Fehler gemacht hat.;x > y;[];[]
<x_nom> wird von <y_dat> betreut, verschweigt <x_poss_p_akk> Allergien aber.;y > x;[];[]
<x_nom> fürchtet sich vor dem Bericht <y_gen> und zögert, mit <y_pron_dat> zu sprechen.;x < y;[];[]
<x_nom> lachte <y_akk> aus und behandelte <y_pron_akk> schlecht.;none;[];[]
<x_nom> bringt <y_dat> das Handwerk bei und achtet darauf, dass <y_pron_nom> konzentriert bleibt.;none/x>y;[];[]
Als <x_nom> ankommt, leiht <y_nom> <x_pron_dat> einen riesigen Lastwagen.;none;[];[]
<x_nom> ist neidisch auf den Job <y_gen> und teilt das <y_pron_dat> mit.;none;[];[]
<x_nom> zeigt sich besorgt über den Besuch <y_gen>, weil bekannt ist, dass <y_pron_nom> sehr streng ist.;x<y;[];[]
<x_nom> spricht mit <y_dat> über das Feuer, das <y_pron_nom> letzte Nacht verursacht hat.;none;[];[]
<x_nom> schimpft mit <y_akk>, weil <x_poss_m_nom> Ofen kaputt ist.;none;[];[]
<x_nom> bewundert die Arbeit <y_gen>, da <x_pron_nom> Talent sehr schätzt.;none;[];[]
<x_nom> ist beeindruckt von den Gesten <y_gen> und versteht dadurch <y_poss_f_akk> Liebessprache besser.;none;[];[]
<x_nom> beschwert sich bei <y_dat>, weil <y_pron_nom> gegenüber Kunden keinen Respekt zeigt.;none;[];[]
<x_nom> ruft <y_akk> an und bittet <y_pron_akk> um Erlaubnis.;x<y;[];[]
<x_nom> wird von <y_dat> eingestellt und bekommt das Gehalt von <y_pron_dat>.;none/y>x;[];[]
<x_nom> isst mehr als <y_nom>, weil <x_pron_nom> sich mehr bewegt.;none;[];[]
<x_nom> vertraut <y_dat> nicht und bittet <y_pron_akk>, zu gehen.;none;[];[]
<x_nom> sagt <y_akk>, dass <y_pron_nom> sich früh zum Dienst melden muss.;x>y;[];[]
<x_nom> macht <y_dat> einen Gefallen, hasst <y_pron_akk> aber insgeheim.;none;[];[]
<x_nom> trifft <y_akk> und erklärt <y_pron_dat> das Design.;none;[];[]
<x_nom> bittet <y_akk> um Hilfe, weil <x_poss_f_nom> Mutter krank ist.;none;[];[]
<x_nom> stimmt sich mit <y_dat> ab, damit <y_pron_nom> das Design besser erklären kann.;none;[];[]
<x_nom> räumt <y_dat> den Raum auf und bittet <y_pron_akk> um Rat.;x<y;[];[]
<x_nom> hilft <y_akk> und fordert <y_pron_akk> auf, sich keine Sorgen zu machen.;x>y;[];[]
<x_nom> kann <y_akk> nicht verstehen, weil <x_pron_nom> nur Deutsch spricht.;none;[];[]
<x_nom> schreit <y_akk> an und nennt <y_pron_akk> einen Dummkopf.;none;[];[]
<x_nom> fährt <y_akk> um, weil <x_pron_nom> während am Handy war.;none;[];[]
<x_nom> rettet <y_akk> vor der Menschenmenge und bringt <y_pron_akk> nach Hause.;none;[];[]
Wenn Winter ist, besucht <x_nom> <y_akk> oft, weil <x_pron> weniger arbeitet.;none;[];[]
<x_nom> verdient mehr als <y_nom>, weil <y_pron_nom> faul und nachlässig ist.;none;[];[]
<x_nom> gibt <y_dat> einen Hut und stiehlt dann <y_poss_f_akk> Geldbörse.;none;[];[]
<x_nom> schrie <y_akk> an und drohte, <y_pron_akk> zu verklagen.;none;[];[]
<x_nom> wurde ungeduldig mit <y_dat>, aber hörte trotzdem <y_poss_f_akk> Geschichte an.;none;[];[]
<x_nom> tat <y_dat> einen Gefallen und wurde von <y_pron_dat> gemocht.;none;[];[]
<x_nom> ist schockiert über das Verhalten <y_gen> und bittet <y_pron_akk>, aufzuhören.;none;[];[]
<x_nom> begrüßt <y_akk> und schenkt <y_pron_dat> ein Bonbon als kleine Aufmerksamkeit.;none;[];[]
<x_nom> fragt <y_akk> nach Hilfe, weil <y_pron_nom> sich in der Bibliothek viel besser auskennt.;none;[];[]
<x_nom> bittet <y_akk> um ein Buch und leiht es sich von <y_pron_dat> aus.;none;[];[]
<x_nom> feuert <y_akk>, weil <x_pron_nom> <y_poss_akk_f> Arbeit schlecht findet.;x>y;[];[]
<x_nom> sieht <y_akk> und erklärt <y_pron_dat> die Situation.;none;[];[]
<x_nom> bedankt sich bei <y_dat>, weil <x_pron_nom> <y_poss_akk_f> Unterstützung zu schätzen weiß.;none;[];[]
<x_nom> ruft bei <y_dat> an und bittet <y_pron_akk>, vor 9 Uhr morgens zu kommen.;none;[];[]
<x_nom> bietet an, <y_dat> zu helfen, und macht <y_poss_f_akk> Steuererklärung.;none;[];[]
<x_nom> fragt <y_akk>, weil <y_pron_nom> sich damit auskennt.;none;[];[]
<x_nom> fragt <y_akk> nach dem Weg, weil <y_pron_nom> dieses Gebäude viel besser kennt.;none;[];[]
<x_nom> ist frech zu <y_dat> und stellt <y_pron_dat> ein Bein.;none;[];[]
<x_nom> bewundert <y_akk> und will <y_poss_m_akk> Job.;none;[];[]
<x_nom> besucht <y_akk> und stellt <y_pron_dat> ein paar Fragen.;none;[];[]
<x_nom> hilft <y_dat>, das Buch zu finden, und lächelt <y_pron_akk> an.;none;[];[]
<x_nom> bittet <y_akk>, <x_poss_m_akk> Zeitplan für morgen zu besprechen.;none/y>x;[];[]
<x_nom> hilft <y_dat> und bittet <y_pron_akk>, <x_pron_dat> dabei einen Gefallen zu tun.;none;[];[]
<x_nom> freundet sich mit <y_dat> an und erzählt <y_pron_dat> vom Klatsch der Mitarbeitenden.;none;[];[]
<x_nom> sagt <y_dat>, dass <y_pron_nom> geduldiger mit den Kindern sein muss.;none;[];[]
<x_nom> trinkt einen Kaffee mit <y_dat> und diskutiert mit <y_pron_dat>.;none;[];[]
<x_nom> rettet <y_akk> aus dem brennenden Gebäude, weil <x_pron_nom> nicht einfach nur zusehen und nichts tun kann.;x=y;[];[]
<x_nom> meldet sich freiwillig, um <x_dat> Programmieren beizubringen, weil <x_pron_nom> sich dadurch gutes Karma erhofft.;x=y;[];[]
<x_nom> legt <y_dat> eine Petition vor, von der <y_pron_nom> nichts weiß.;x=y;[];[]
<x_nom> vereinbart mit <y_dat> ein Meeting, um sich <y_poss_p_akk> Entwürfe zur Inspiration anzusehen.;x=y;[];[]
<x_nom> hilft <y_dat>, ein Buch auszusuchen, weil <y_pron_nom> nicht weiß, was <y_pron_nom> lesen soll.;x>y;[];[]
<x_nom> sagt <y_dat>, dass <x_pron_nom> nächste Woche im Urlaub ist.;x=y;[];[]
<x_nom> gibt <y_dat> Feedback zu <y_poss_m_dat> herausragender Leistung.;x>y;[];[]
<x_nom> informiert <y_akk>, dass <x_pron_nom> mehr Zeit braucht, um das Projekt abzuschließen.;x<y;[];[]
<x_nom> entschuldigt sich bei <y_dat>, weil <y_rel_nom> mit dem Abendessen nicht zufrieden ist.;x<y;[];[]
<x_nom> warnt <y_akk>, <y_pron_nom> soll das nicht alleine machen.;x>y;[];[]
<x_nom> erklärt <y_dat>, dass <x_pron_nom> glaubt, Ernährung und Bewegung seien gleichermaßen wichtig.;none;[];[]
<x_nom> sagt <y_dat>, dass <y_pron_nom> mindestens drei Meter von der Baustelle entfernt bleiben muss.;none/x>y;[];[]
<x_nom> vergisst, den Papierkram für <y_akk> einzureichen, und deswegen wird <x_pron_nom> gefeuert.;x<y;[];[]
<x_nom> sagt <y_dat>, <y_pron_nom> solle den gesperrten Teil der Straße meiden.;none;[];[]
<x_nom> tätigt einen Anruf bei <y_dat>, weil <x_pron_nom> sich Sorgen macht.;none;[];[]
<x_nom> spricht mit <y_dat> und sagt, dass die ganze Gemeinde keinen Flughafen in der Nähe will.;none;[];[]
<x_nom> vertraut sich <y_dat> an, weil <x_pron_nom> emotionale Unterstützung braucht.;none;[];[]
<x_nom> vertraut sich <y_dat> an, weil <y_pron_nom> vertrauenswürdig scheint.;none;[];[]
<x_nom> fragt <y_akk>, ob <x_pron_nom> sich anmelden muss.;none;[];[]
